Tools	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276408	1	OK	0.7046181	0.5413175	0.3945215	-0.2341827	-12.692	1.220	-394.845	0.0970051	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276416	1	OK	0.7062733	0.5391337	0.3966860	-0.2305495	-11.751	2.108	-392.967	0.0476107	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276424	1	OK	0.7087706	0.5384772	0.3966482	-0.2244031	-10.698	2.286	-392.694	0.0531840	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276432	1	OK	0.7094092	0.5372885	0.3994411	-0.2202419	-9.857	3.251	-392.287	0.0982644	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276440	1	OK	0.7110618	0.5360946	0.4008994	-0.2151126	-8.864	4.137	-391.441	0.0947712	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276448	1	OK	0.7121895	0.5353503	0.4022898	-0.2105923	-8.524	5.157	-390.276	0.0894733	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276456	1	OK	0.7125916	0.5343882	0.4041958	-0.2080104	-8.702	5.779	-389.990	0.0907605	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276464	1	OK	0.7125557	0.5336164	0.4063566	-0.2058935	-9.007	6.477	-389.761	0.0827673	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276472	1	OK	0.7135889	0.5315943	0.4080135	-0.2042631	-9.346	6.682	-388.883	0.0823354	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276480	1	OK	0.7149522	0.5301017	0.4090579	-0.2012639	-9.349	6.923	-387.573	0.1107216	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276488	1	OK	0.7150545	0.5289127	0.4114655	-0.1991092	-9.462	7.204	-387.416	0.1077069	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276496	1	OK	0.7155593	0.5272327	0.4138277	-0.1968431	-9.446	7.131	-388.114	0.0723382	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276504	1	OK	0.7149478	0.5235110	0.4192829	-0.1974529	-9.550	7.480	-387.116	0.0247996	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276512	1	OK	0.7155844	0.5215599	0.4215424	-0.1954898	-9.532	7.475	-386.238	0.0765762	0
